Mon,Item,Move 1,Move 2,Move 3,Move 4
Snivy,Binding Band,Leaf Tornado,Wring Out,Wrap,Leech Seed
Snivy,Miracle Seed,Leaf Blade,Slam,Gastro Acid,Coil
Servine,Grip Claw,Leaf Blade,Slam,Iron Tail,Wrap
Servine,White Herb,Leaf Storm,Wring Out,Gastro Acid,Mirror Coat
Tepig,Shuca Berry,Flame Charge,Rollout,Defense Curl,Smog
Tepig,Passho Berry,Heat Crash,Assurance,Rock Tomb,Roar
Pignite,White Herb,Heat Crash,Superpower,Poison Jab,Roar
Pignite,Quick Claw,Flare Blitz,Head Smash,Stone Edge,Heavy Slam
Oshawott,Wacan Berry,Razor Shell,Aqua Jet,Revenge,Tail Whip
Oshawott,Rindo Berry,Surf,Ice Beam,Scald,Encore
Dewott,Razor Claw,Razor Shell,X-Scissor,Night Slash,Aqua Jet
Dewott,Shell Bell,Hydro Pump,Ice Beam,Scald,Air Slash
Patrat,Cheri Berry,Super Fang,Crunch,Hypnosis,Sand Attack
Patrat,Razor Fang,Hyper Fang,Slam,Crunch,Hypnosis
Watchog,Chesto Berry,Super Fang,Low Kick,Iron Tail,Hypnosis
Watchog,Razor Fang,Hyper Fang,Crunch,Flail,Confuse Ray
Lillipup,Chople Berry,Crunch,Take Down,Thunder Wave,Roar
Lillipup,Silk Scarf,Return,Retaliate,Aerial Ace,Roar
Herdier,Silk Scarf,Take Down,Crunch,Odor Sleuth,Roar
Herdier,Focus Band,Return,Retaliate,Reversal,Work Up
Stoutland,Lum Berry,Crunch,Ice Fang,Fire Fang,Thunder Fang
Stoutland,Razor Claw,Giga Impact,Crunch,Wild Charge,Aerial Ace
Purrloin,Black Glasses,Night Slash,Echoed Voice,Hone Claws,Fake Out
Purrloin,Razor Fang,Sucker Punch,Shadow Claw,Aerial Ace,Fake Out
Liepard,Salac Berry,Night Slash,Aerial Ace,Assist,Fake Out
Liepard,Razor Claw,Night Slash,Shadow Claw,Slash,Hone Claws
Pansage,Sitrus Berry,Seed Bomb,Acrobatics,Leer,Grass Knot
Pansage,Salac Berry,Seed Bomb,Crunch,Acrobatics,Torment
Simisage,Sitrus Berry,Energy Ball,Focus Blast,Round,Protect
Simisage,Muscle Band,Giga Impact,Shadow Claw,Low Sweep,Acrobatics
Pansear,Passho Berry,Flame Burst,Fury Swipes,Leer,Hone Claws
Pansear,Liechi Berry,Flame Charge,Shadow Claw,Acrobatics,Yawn
Simisear,White Herb,Overheat,Focus Blast,Round,Protect
Simisear,Scope Lens,Flame Charge,Shadow Claw,Rock Slide,Acrobatics
Panpour,Cheri Berry,Scald,Taunt,Water Sport,Leer
Panpour,Shell Bell,Waterfall,Acrobatics,Crunch,Taunt
Simipour,Expert Belt,Surf,Ice Beam,Focus Blast,Scald
Simipour,Expert Belt,Waterfall,Shadow Claw,Acrobatics,Rock Slide
Munna,TwistedSpoon,Synchronoise,Charge Beam,Yawn,Moonlight
Munna,Wise Glasses,Psychic,Energy Ball,Shadow Ball,Thunder Wave
Pidove,Wacan Berry,Air Slash,Quick Attack,Taunt,Detect
Pidove,Scope Lens,Fly,Facade,Swagger,Feather Dance
Tranquill,Cheri Berry,Air Cutter,Quick Attack,Taunt,Detect
Tranquill,Power Herb,Razor Wind,Facade,Feather Dance,Tailwind
Blitzle,Magnet,Spark,Quick Attack,Thunder Wave,Tail Whip
Blitzle,Air Balloon,Spark,Facade,Pursuit,Thunder Wave
Roggenrola,Shuca Berry,Smack Down,Bulldoze,Headbutt,Iron Defense
Roggenrola,Smooth Rock,Stone Edge,Earthquake,Iron Defense,Sandstorm
Boldore,Rocky Helmet,Smack Down,Headbutt,Sand Attack,Iron Defense
Boldore,Air Balloon,Stone Edge,Earthquake,Headbutt,Sandstorm
Woobat,Cheri Berry,Air Cutter,Psyshock,Attract,Odor Sleuth
