Mon,Item,Move 1,Move 2,Move 3,Move 4
Venusaur,Power Herb,Skull Bash,Worry Seed,Earthquake,Return
Venusaur,Big Root,Leech Seed,Ingrain,Giga Drain,Sleep Powder
Venusaur,Quick Claw,Earthquake,Seed Bomb,Return,Curse
Venusaur,Quick Claw,Frenzy Plant,Sludge Bomb,Hyper Beam,Synthesis
Charizard,Charti Berry,Flamethrower,Sunny Day,Focus Blast,Ancient Power
Charizard,Scope Lens,Flare Blitz,Aerial Ace,Crunch,Dragon Claw
Charizard,King's Rock,Fire Fang,Air Slash,Dragon Rush,Dragon Dance
Charizard,Bright Powder,Blast Burn,Air Slash,Dragon Pulse,Ancient Power
Blastoise,Iron Ball,Double Team,Focus Punch,Aqua Jet,Gyro Ball
Blastoise,Power Herb,Skull Bash,Earthquake,Waterfall,Aqua Jet
Blastoise,Quick Claw,Hydro Pump,Ice Beam,Focus Blast,Rain Dance
Blastoise,Quick Claw,Hydro Cannon,Ice Beam,Hyper Beam,Focus Blast
Raichu,Wide Lens,Thunderbolt,Quick Attack,Slam,Iron Tail
Raichu,Focus Band,Thunder Punch,Feint,Brick Break,Double Team
Raichu,Focus Sash,Nasty Plot,Focus Blast,Grass Knot,Thunder
Raichu,Shell Bell,Volt Tackle,Iron Tail,Brick Break,Light Screen
Nidoqueen,Salac Berry,Endure,Brick Break,Aerial Ace,Shadow Claw
Nidoqueen,Wide Lens,Earth Power,Sludge Bomb,Fire Blast,Blizzard
Nidoqueen,Bright Powder,Stone Edge,Avalanche,Iron Tail,Aerial Ace
Nidoqueen,Scope Lens,Earthquake,Shadow Claw,Crunch,Superpower
Nidoking,Bright Powder,Substitute,Focus Punch,Water Pulse,Horn Drill
Nidoking,Wise Glasses,Earth Power,Dragon Pulse,Sludge Bomb,Sandstorm
Nidoking,Expert Belt,Earth Power,Sludge Bomb,Ice Beam,Shadow Ball
Nidoking,Muscle Band,Shadow Claw,Avalanche,Earthquake,Megahorn
Ninetales,Rawst Berry,Captivate,Disable,Will-O-Wisp,Flamethrower
Ninetales,White Herb,Nasty Plot,Overheat,Dark Pulse,Grudge
Ninetales,Grip Claw,Fire Spin,Hypnosis,Fire Blast,Dream Eater
Ninetales,Shuca Berry,Calm Mind,Flamethrower,Energy Ball,Extrasensory
Vileplume,Big Root,Poison Powder,Sleep Powder,Stun Spore,Giga Drain
Vileplume,Black Sludge,Toxic,Grass Knot,Double Team,Attract
Vileplume,Quick Claw,Drain Punch,Sludge Bomb,Swords Dance,Tickle
Vileplume,Power Herb,Sludge Bomb,Energy Ball,Solar Beam,Synthesis
Dugtrio,Grip Claw,Sand Tomb,Toxic,Rock Slide,Dig
Dugtrio,Bright Powder,Swagger,Attract,Sand Attack,Sucker Punch
Dugtrio,Razor Claw,Fissure,Giga Impact,Aerial Ace,Night Slash
Dugtrio,Muscle Band,Earthquake,Stone Edge,Slash,Shadow Claw
Golduck,Pecha Berry,Water Sport,Disable,Surf,Brick Break
Golduck,Wide Lens,Hydro Pump,Zen Headbutt,Shadow Claw,Brine
Golduck,Muscle Band,Swagger,Psych Up,Waterfall,Cross Chop
Golduck,Wacan Berry,Hydro Pump,Psychic,Ice Beam,Calm Mind
Arcanine,Lum Berry,Flamethrower,Dragon Pulse,Will-O-Wisp,Extreme Speed
Arcanine,Salac Berry,Endure,Reversal,Fire Fang,Thunder Fang
Arcanine,White Herb,Overheat,Thunder Fang,Crunch,Iron Tail
Arcanine,Focus Band,Flare Blitz,Crunch,Thunder Fang,Extreme Speed
Poliwrath,Rindo Berry,Surf,Ice Beam,Focus Blast,Mud Bomb
Poliwrath,Quick Claw,Waterfall,Brick Break,Earthquake,Hypnosis
Poliwrath,King's Rock,Focus Punch,Strength,Giga Impact,Earthquake
Poliwrath,Black Belt,Brick Break,Surf,Focus Blast,Bulk Up
Alakazam,Iron Ball,Psycho Cut,Disable,Recover,Trick Room
Alakazam,Colbur Berry,Psychic,Calm Mind,Shadow Ball,Future Sight
Alakazam,Sitrus Berry,Psychic,Shadow Ball,Charge Beam,Energy Ball
Alakazam,Bright Powder,Psychic,Shadow Ball,Energy Ball,Focus Blast
Machamp,Focus Sash,Counter,Revenge,Payback,Earthquake
Machamp,Wide Lens,Rock Slide,Rock Smash,Rock Climb,Rock Tomb
Machamp,Chesto Berry,Brick Break,Earthquake,Thunder Punch,Rest
