Mon,Item,Move 1,Move 2,Move 3,Move 4
Articuno,Icy Rock,Swagger,Hail,Roost,Blizzard
Articuno,Chesto Berry,Agility,Ice Beam,Water Pulse,Rest
Articuno,Bright Powder,Tailwind,Ice Beam,Water Pulse,Double Team
Articuno,Wacan Berry,Sheer Cold,Ice Beam,Aerial Ace,Roar
Zapdos,Bright Powder,Double Team,Roost,Discharge,Pluck
Zapdos,Focus Band,Detect,Toxic,Drill Peck,Thunderbolt
Zapdos,King's Rock,Drill Peck,U-turn,Steel Wing,Ancient Power
Zapdos,Sharp Beak,Rain Dance,Thunder,Charge Beam,Drill Peck
Moltres,Heat Rock,Sunny Day,Flamethrower,Solar Beam,Endure
Moltres,King's Rock,Air Slash,Agility,Heat Wave,Pluck
Moltres,Bright Powder,Overheat,Sky Attack,Fire Blast,U-turn
Moltres,Bright Powder,Flamethrower,Air Slash,Will-O-Wisp,Double Team
Raikou,Magnet,Rain Dance,Thunder,Calm Mind,Iron Tail
Raikou,Lax Incense,Crunch,Thunder Fang,Leer,Double Team
Raikou,Wise Glasses,Discharge,Spark,Thunderbolt,Charge Beam
Raikou,Shuca Berry,Thunderbolt,Extrasensory,Shadow Ball,Calm Mind
Entei,Wise Glasses,Lava Plume,Fire Spin,Flamethrower,Overheat
Entei,Heat Rock,Sunny Day,Flamethrower,Solar Beam,Extrasensory
Entei,Leftovers,Fire Blast,Extrasensory,Shadow Ball,Calm Mind
Entei,Passho Berry,Fire Fang,Iron Tail,Bite,Double Team
Suicune,Icy Rock,Hail,Aurora Beam,Ice Beam,Blizzard
Suicune,Wacan Berry,Tailwind,Extrasensory,Calm Mind,Hydro Pump
Suicune,Never-Melt Ice,Ice Fang,Bite,Mist,Leer
Suicune,Chesto Berry,Calm Mind,Rest,Surf,Ice Beam
Regirock,Passho Berry,Superpower,Ancient Power,Secret Power,Strength
Regirock,Leftovers,Stone Edge,Earthquake,Brick Break,Sandstorm
Regirock,Smooth Rock,Sandstorm,Stone Edge,Earthquake,Iron Defense
Regirock,Quick Claw,Explosion,Stone Edge,Earthquake,Brick Break
Regice,Shell Bell,Ice Beam,Thunderbolt,Hyper Beam,Flash Cannon
Regice,Ganlon Berry,Focus Blast,Natural Gift,Giga Impact,Rock Polish
Regice,Chesto Berry,Ice Beam,Flash Cannon,Ancient Power,Rest
Regice,Leftovers,Ice Beam,Thunderbolt,Protect,Toxic
Registeel,Chesto Berry,Curse,Rest,Flash Cannon,Metal Claw
Registeel,Occa Berry,Iron Defense,Toxic,Substitute,Earthquake
Registeel,Damp Rock,Rain Dance,Thunder,Stealth Rock,Protect
Registeel,Quick Claw,Explosion,Double Team,Swagger,Substitute
Latias,Colbur Berry,Psychic,Energy Ball,Grass Knot,Recover
Latias,Lum Berry,Calm Mind,Dragon Pulse,Psychic,Roost
Latias,Bright Powder,Psychic,Dragon Pulse,Thunderbolt,Surf
Latias,Leftovers,Mist Ball,Draco Meteor,Calm Mind,Safeguard
Latios,Lum Berry,Dragon Dance,Recover,Dragon Claw,Shadow Claw
Latios,Expert Belt,Psychic,Dragon Pulse,Ice Beam,Shadow Ball
Latios,Haban Berry,Luster Purge,Water Pulse,Dragon Breath,Recover
Latios,White Herb,Draco Meteor,Psychic,Thunder,Hyper Beam
Heatran,Focus Sash,Fire Fang,Earthquake,Stone Edge,Crunch
Heatran,Shuca Berry,Flamethrower,Earth Power,Dragon Pulse,Ancient Power
Heatran,Quick Claw,Explosion,Fire Fang,Crunch,Iron Head
Heatran,Bright Powder,Explosion,Magma Storm,Dark Pulse,Flash Cannon
Regigigas,Lum Berry,Substitute,Double Team,Thunder Wave,Return
Regigigas,Bright Powder,Swagger,Psych Up,Crush Grip,Aerial Ace
Regigigas,Shell Bell,Thunderbolt,Focus Blast,Earthquake,Drain Punch
Regigigas,Chople Berry,Crush Grip,Ice Punch,Stone Edge,Brick Break
Cresselia,Focus Band,Lunar Dance,Safeguard,Future Sight,Psychic
Cresselia,Lum Berry,Double Team,Moonlight,Toxic,Psychic
Cresselia,Wise Glasses,Psychic,Ice Beam,Shadow Ball,Energy Ball
Cresselia,Leftovers,Calm Mind,Moonlight,Psychic,Shadow Ball
