Type,normal,fighting,flying,poison,ground,rock,bug,ghost,steel,fire,water,grass,electric,psychic,ice,dragon,dark
normal,1,1,1,1,1,0.5,1,0,0.5,1,1,1,1,1,1,1,1
fighting,2,1,0.5,0.5,1,2,0.5,0,2,1,1,1,1,0.5,2,1,2
flying,1,2,1,1,1,0.5,2,1,0.5,1,1,2,0.5,1,1,1,1
poison,1,1,1,0.5,0.5,0.5,1,0.5,0,1,1,2,1,1,1,1,1
ground,1,1,0,2,1,2,0.5,1,2,2,1,0.5,2,1,1,1,1
rock,1,0.5,2,1,0.5,1,2,1,0.5,2,1,1,1,1,2,1,1
bug,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,2,1,2,1,1,2
ghost,0,1,1,1,1,1,1,2,0.5,1,1,1,1,2,1,1,0.5
steel,1,1,1,1,1,2,1,1,0.5,0.5,0.5,1,0.5,1,2,1,1
fire,1,1,1,1,1,0.5,2,1,2,0.5,0.5,2,1,1,2,0.5,1
water,1,1,1,1,2,2,1,1,1,2,0.5,0.5,1,1,1,0.5,1
grass,1,1,0.5,0.5,2,2,0.5,1,0.5,0.5,2,0.5,1,1,1,0.5,1
electric,1,1,2,1,0,1,1,1,1,1,2,0.5,0.5,1,1,0.5,1
psychic,1,2,1,2,1,1,1,1,2,1,1,1,1,0.5,1,1,0
ice,1,1,2,1,2,1,1,1,0.5,0.5,0.5,2,1,1,0.5,2,1
dragon,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,2,1
dark,1,0.5,1,1,1,1,1,2,0.5,1,1,1,1,2,1,1,0.5
