Mon,Item,Move 1,Move 2,Move 3,Move 4
Ivysaur,Salac Berry,Razor Leaf,Poison Powder,Take Down,Leech Seed
Ivysaur,Big Root,Giga Drain,Sludge Bomb,Sleep Powder,Leech Seed
Charmeleon,Razor Claw,Fire Fang,Slash,SmokeScreen,Scary Face
Charmeleon,Razor Claw,Flamethrower,Shadow Claw,Aerial Ace,SmokeScreen
Wartortle,Focus Band,Aqua Jet,Bite,Rapid Spin,Yawn
Wartortle,Shell Bell,Surf,Ice Beam,Brick Break,Fake Out
Pidgeot,Cheri Berry,Wing Attack,Facade,Tailwind,Sand Attack
Pidgeot,Razor Claw,Return,Aerial Ace,Steel Wing,U-turn
Raticate,Silk Scarf,Endeavor,Pursuit,Quick Attack,Scary Face
Raticate,Chople Berry,Super Fang,Hyper Fang,Shadow Ball,Scary Face
Fearow,Sharp Beak,Pluck,Facade,Growl,Leer
Fearow,Cheri Berry,Drill Peck,Frustration,Feint Attack,U-turn
Arbok,Persim Berry,Poison Fang,Bite,Gastro Acid,Glare
Arbok,Payapa Berry,Sludge Bomb,Mud Bomb,Crunch,Glare
Sandslash,Sitrus Berry,Dig,Rock Tomb,Defense Curl,Sandstorm
Sandslash,Quick Claw,Earthquake,Rock Slide,Crush Claw,Sandstorm
Clefable,Chesto Berry,Metronome,Double Team,Reflect,Follow Me
Clefable,Focus Band,Return,Meteor Mash,Zen Headbutt,Sing
Wigglytuff,Silk Scarf,Secret Power,Grass Knot,Wish,Sing
Wigglytuff,Sitrus Berry,Hyper Voice,Shadow Ball,Sing,Dream Eater
Golbat,Payapa Berry,Aerial Ace,Toxic,Steel Wing,Confuse Ray
Golbat,Black Sludge,Poison Fang,Aerial Ace,Zen Headbutt,Confuse Ray
Venomoth,Black Sludge,Silver Wind,Psybeam,Sleep Powder,Attract
Venomoth,SilverPowder,Bug Buzz,Sludge Bomb,Psychic,Supersonic
Persian,Silk Scarf,Slash,U-turn,Captivate,Swagger
Persian,Razor Claw,Slash,Shadow Claw,Bite,Fake Out
Primeape,Scope Lens,Karate Chop,Fury Swipes,Foresight,Focus Energy
Primeape,Expert Belt,Cross Chop,Earthquake,Rock Slide,Swagger
Kadabra,Twisted Spoon,Confusion,Role Play,Disable,Future Sight
Kadabra,Cheri Berry,Psychic,Shadow Ball,Shock Wave,Reflect
Machoke,Focus Band,Karate Chop,Rock Tomb,Foresight,Scary Face
Machoke,Scope Lens,Cross Chop,Facade,Rock Slide,Counter
Magneton,Petaya Berry,Shock Wave,Magnet Bomb,Thunder Wave,Supersonic
Magneton,Shuca Berry,Thunderbolt,Mirror Shot,Thunder Wave,Magnet Rise
Dodrio,Aspear Berry,Pluck,Fury Attack,Growl,Acupressure
Dodrio,King's Rock,Drill Peck,Frustration,Feint Attack,Acupressure
Cloyster,Never-Melt Ice,Aurora Beam,Water Pulse,Spikes,Supersonic
Cloyster,Leftovers,Avalanche,Dive,Toxic,Protect
Kingler,Wacan Berry,Bubble Beam,Vice Grip,Harden,Mud Sport
Kingler,Salac Berry,Crabhammer,Guillotine,Flail,Endure
Hitmonlee,Black Belt,Rolling Kick,Facade,Foresight,Focus Energy
Hitmonlee,Salac Berry,High Jump Kick,Blaze Kick,Mega Kick,Endure
Hitmonchan,King's Rock,Mach Punch,Bullet Punch,Mind Reader,Counter
Hitmonchan,King's Rock,Sky Uppercut,Mega Punch,Bullet Punch,Counter
Chansey,Sitrus Berry,Metronome,Refresh,Defense Curl,Minimize
Chansey,Lucky Punch,Egg Bomb,Focus Punch,Sing,Soft-Boiled
Tangela,Pecha Berry,Mega Drain,Ancient Power,Toxic,Bind
Tangela,Pecha Berry,Giga Drain,Sludge Bomb,Wring Out,Ingrain
Seadra,Razor Claw,Bubble Beam,Aurora Beam,SmokeScreen,Rain Dance
Seadra,Shell Bell,Surf,Ice Beam,Twister,SmokeScreen
Seaking,Pecha Berry,Water Pulse,Psybeam,Supersonic,Rain Dance
Seaking,Quick Claw,Aqua Tail,Poison Jab,Facade,Aqua Ring
Scyther,Metronome,Fury Cutter,Wing Attack,Light Screen,Leer
Scyther,Bright Powder,X-Scissor,Aerial Ace,Night Slash,Swords Dance
Electabuzz,Lansat Berry,Shock Wave,Swift,Thunder Wave,Light Screen
Electabuzz,Bright Powder,Thunderbolt,Psychic,Focus Blast,Thunder Wave
Magmar,Lansat Berry,Fire Punch,Mach Punch,SmokeScreen,Will-O-Wisp
Magmar,Lax Incense,Flamethrower,Psychic,Focus Blast,Confuse Ray
Omastar,Metronome,Water Gun,Rollout,Withdraw,Spikes
Omastar,Sitrus Berry,Surf,Stone Edge,Ice Beam,Toxic Spikes
Kabutops,Sea Incense,Aqua Jet,Rock Tomb,Harden,Metal Sound
Kabutops,Razor Claw,Waterfall,Rock Slide,Slash,Swords Dance
Dragonair,Cheri Berry,Dragon Breath,Water Pulse,Thunder Wave,Safeguard
Dragonair,Haban Berry,Dragon Pulse,Aqua Tail,Slam,Dragon Dance
Bayleef,Sitrus Berry,Magical Leaf,Ancient Power,Safeguard,Light Screen
Bayleef,Chesto Berry,Giga Drain,Body Slam,Grass Whistle,Rest
Quilava,Chesto Berry,Flame Wheel,Double Kick,Quick Attack,SmokeScreen
Quilava,Focus Band,Flamethrower,Crush Claw,Quick Attack,SmokeScreen
Croconaw,Scope Lens,Water Pulse,Slash,Bite,Scary Face
Croconaw,Focus Band,Aqua Tail,Crunch,Rock Slide,Scary Face
Furret,Liechi Berry,Slash,Sucker Punch,Helping Hand,Assist
Furret,Choice Band,Frustration,Shadow Claw,Trick,Assist
Noctowl,Persim Berry,Secret Power,Aerial Ace,Supersonic,Reflect
Noctowl,Persim Berry,Air Slash,Swift,Psychic,Reflect
Xatu,Sharp Beak,Zen Headbutt,Pluck,Tailwind,Future Sight
Xatu,Colbur Berry,Psychic,Air Cutter,Ominous Wind,Confuse Ray
Bellossom,Petaya Berry,Magical Leaf,Acid,Tickle,Stun Spore
Bellossom,Bright Powder,Solar Beam,Sludge Bomb,Sunny Day,Synthesis
Sudowoodo,Hard Stone,Rock Slide,Feint Attack,Sandstorm,Block
Sudowoodo,Life Orb,Stone Edge,Earthquake,Mimic,Self-Destruct
Jumpluff,Pecha Berry,Aerial Ace,Bullet Seed,Cotton Spore,Tail Whip
Jumpluff,Sitrus Berry,Seed Bomb,Bounce,Sleep Powder,Synthesis
Sunflora,Persim Berry,Mega Drain,Ingrain,Leech Seed,Light Screen
Sunflora,Sitrus Berry,Giga Drain,Sludge Bomb,Grass Whistle,Double Team
Misdreavus,Cheri Berry,Ominous Wind,Pain Split,Confuse Ray,Thunder Wave
Misdreavus,Kasib Berry,Shadow Ball,Psychic,Thunder Wave,Confuse Ray
Girafarig,Petaya Berry,Psybeam,Swift,Baton Pass,Agility
Girafarig,Razor Claw,Zen Headbutt,Double Hit,Crunch,Thunder Wave
Gligar,Razor Claw,Aerial Ace,Sand Tomb,Metal Claw,Swords Dance
Gligar,Quick Claw,Earthquake,Aerial Ace,Aqua Tail,Sandstorm
Qwilfish,Cheri Berry,Bubble Beam,Toxic,Pin Missile,Harden
Qwilfish,Focus Band,Aqua Tail,Poison Jab,Revenge,Destiny Bond
Sneasel,Persim Berry,Feint Attack,Ice Shard,Leer,Taunt
Sneasel,King's Rock,Ice Punch,Feint Attack,Crush Claw,Spite
Magcargo,Lax Incense,Lava Plume,Ancient Power,Acid Armor,Sandstorm
Magcargo,Quick Claw,Overheat,Rock Slide,Earthquake,Body Slam
Piloswine,Never-Melt Ice,Icy Wind,Mud Bomb,Mist,Hail
Piloswine,Muscle Band,Ice Fang,Earthquake,Stone Edge,Curse
Octillery,Wacan Berry,Octazooka,Icy Wind,Thunder Wave,Focus Energy
Octillery,Life Orb,Octazooka,Flamethrower,Psychic,Thunder Wave
Mantine,Mystic Water,Bubble Beam,Wing Attack,Agility,Supersonic
Mantine,Shell Bell,Surf,Air Cutter,Ice Beam,Confuse Ray
Stantler,Liechi Berry,Stomp,Bite,Imprison,Confuse Ray
Stantler,Chople Berry,Frustration,Zen Headbutt,Thunder Wave,Confuse Ray
Hitmontop,Liechi Berry,Triple Kick,Mach Punch,Detect,Focus Energy
