Mon, Item, Move 1, Move 2, Move 3, Move 4, Nature, Hp, Atk, Def, SpAtk, SpDef, Spd
Venusaur,Big Root,Leech Seed,Toxic,Synthesis,Ingrain,Calm,252,0,0,0,252,0
Venusaur,Miracle Seed,Roar,Venoshock,Power Whip,Earthquake,Brave,170,170,170,0,0,0
Venusaur,Salac Berry,Energy Ball,Sludge Bomb,Grass Knot,Protect,Timid,0,0,0,252,0,252
Venusaur,Black Sludge,Leech Seed,Substitute,Sludge Bomb,Protect,Bold,252,0,0,0,252,0
Charizard,Salac Berry,Dragon Claw,Fire Punch,Belly Drum,Shadow Claw,Adamant,170,0,0,0,170,170
Charizard,Charti Berry,Dragon Claw,Shadow Claw,Rock Slide,Dragon Dance,Adamant,0,252,0,0,0,252
Charizard,Choice Scarf,Heat Wave,Rock Slide,Air Slash,Crunch,Mild,0,170,0,170,0,170
Charizard,Assault Vest,Heat Wave,Air Slash,Dragon Pulse,Focus Blast,Modest,0,0,0,252,0,252
Blastoise,Zoom Lens,Aqua Ring,Rock Slide,Aqua Tail,Iron Defense,Quiet,170,0,170,0,170,0
Blastoise,Zoom Lens,Hydro Pump,Ice Beam,Mist,Focus Blast,Quiet,252,0,0,252,0,0
Blastoise,Leftovers,Fake Out,Earthquake,Aqua Tail,Avalanche,Adamant,252,252,0,0,0,0
Blastoise,Custap Berry,Yawn,Waterfall,Focus Punch,Rock Slide,Adamant,252,252,0,0,0,0
Raichu,Focus Sash,Encore,Thief,Thunder Wave,Discharge,Adamant,0,0,0,252,0,252
Raichu,Magnet,Brick Break,Electro Ball,Fake Out,Protect,Jolly,0,252,0,0,0,252
Raichu,Focus Sash,Thunder Punch,Reversal,Thunder Wave,Fake Out,Jolly,0,252,0,0,0,252
Raichu,Lum Berry,Encore,Magnet Rise,Thunderbolt,Grass Knot,Timid,0,0,0,252,0,252
Nidoqueen,Payapa Berry,Chip Away,Swagger,Helping Hand,Flatter,Relaxed,170,0,170,0,170,0
Nidoqueen,Absorb Bulb,Thunderbolt,Hyper Beam,Earth Power,Counter,Mild,252,0,0,252,0,0
Nidoqueen,Black Sludge,Sludge Bomb,Earth Power,Flamethrower,Ice Beam,Modest,252,0,0,252,0,0
Nidoqueen,Black Sludge,Poison Jab,Dragon Tail,Bulldoze,Earthquake,Adamant,252,252,0,0,0,0
Nidoking,King's Rock,Bulldoze,Megahorn,Rock Slide,Hone Claws,Naughty,252,252,0,0,0,0
Nidoking,Black Sludge,Amnesia,Sludge Bomb,Flamethrower,Protect,Quiet,252,0,0,252,0,0
Nidoking,Black Sludge,Earth Power,Sludge Bomb,Protect,Icy Wind,Modest,0,0,0,252,0,252
Nidoking,Muscle Band,Earthquake,Poison Jab,Megahorn,Protect,Adamant,0,252,0,0,0,252
Ninetales,Passho Berry,Will-O-Wisp,Hypnosis,Extrasensory,Heat Wave,Modest,0,0,0,252,0,252
Ninetales,Safety Goggles,Heat Wave,Roar,Confuse Ray,Nasty Plot,Timid,252,0,0,0,0,252
Ninetales,Wide Lens,Fire Blast,Extrasensory,Hypnosis,Disable,Timid,0,0,0,0,252,252
Ninetales,Passho Berry,Flamethrower,Extrasensory,Energy Ball,Calm Mind,Timid,252,0,0,0,0,252
Vileplume,Persim Berry,Petal Dance,Stun Spore,Teeter Dance,Moonlight,Calm,0,0,0,0,252,252
Vileplume,Power Herb,Solar Beam,Sludge Bomb,Synthesis,Double Team,Modest,252,0,0,252,0,0
Vileplume,Big Root,Double Team,Ingrain,Toxic,Giga Drain,Modest,252,0,0,252,0,0
Vileplume,Lum Berry,Giga Drain,Solar Beam,Teeter Dance,Sludge Bomb,Modest,0,0,0,252,0,252
Dugtrio,Focus Sash,Reversal,Attract,Dig,Protect,Hasty,0,252,0,0,0,252
Dugtrio,Choice Band,Protect,Final Gambit,Earthquake,Rock Slide,Lonely,252,0,0,0,0,252
Dugtrio,Choice Band,Earthquake,Rock Slide,Reversal,Aerial Ace,Jolly,0,252,0,0,0,252
Dugtrio,Bright Powder,Toxic,Dig,Substitute,Sandstorm,Jolly,0,252,0,0,0,252
Arcanine,Charcoal,Flamethrower,Solar Beam,Incinerate,Sunny Day,Modest,0,0,0,252,0,252
Arcanine,Weakness Policy,Extreme Speed,Crunch,Overheat,Roar,Naughty,0,252,0,0,0,252
Arcanine,White Herb,Overheat,Sunny Day,Solar Beam,Dragon Pulse,Timid,0,0,0,252,0,252
Arcanine,Sitrus Berry,Close Combat,Flare Blitz,Crunch,Extreme Speed,Jolly,0,252,0,0,0,252
Poliwrath,Sitrus Berry,Ice Beam,Waterfall,Psychic,Work Up,Naughty,170,170,0,170,0,0
Poliwrath,Shell Bell,Brick Break,Waterfall,Hypnosis,Belly Drum,Naive,252,252,0,0,0,0
Poliwrath,Leftovers,Waterfall,Focus Punch,Encore,Substitute,Adamant,252,252,0,0,0,0
Poliwrath,Sitrus Berry,Waterfall,Earthquake,Focus Punch,Circle Throw,Adamant,252,252,0,0,0,0
Alakazam,TwistedSpoon,Energy Ball,Psychic,Telekinesis,Guard Split,Timid,0,0,0,252,0,252
Alakazam,Focus Sash,Psych Up,Encore,Protect,Psychic,Timid,0,0,0,252,0,252
Alakazam,Wise Glasses,Psychic,Focus Blast,Signal Beam,Grass Knot,Timid,0,0,0,252,0,252
Alakazam,Choice Specs,Psychic,Focus Blast,Disable,Trick,Timid,0,0,0,252,0,252
Machamp,Rawst Berry,Dynamic Punch,Payback,Foresight,Wide Guard,Brave,252,252,0,0,0,0
Machamp,Expert Belt,Ice Punch,Cross Chop,Fire Punch,Focus Energy,Brave,252,252,0,0,0,0
Machamp,Choice Scarf,Dynamic Punch,Ice Punch,Rock Slide,Earthquake,Jolly,0,252,0,0,0,252
Machamp,Flame Orb,Protect,Earthquake,Close Combat,Payback,Adamant,0,252,0,0,252,0
Victreebel,Payapa Berry,Leaf Tornado,Stockpile,Swallow,Gastro Acid,Quiet,0,0,0,252,252,0
Victreebel,Safety Goggles,Leaf Storm,Sleep Powder,Stockpile,Encore,Rash,0,0,0,252,0,252
Victreebel,Focus Sash,Sunny Day,Solar Beam,Sludge Bomb,Weather Ball,Modest,0,0,0,252,0,252
Victreebel,Life Orb,Weather Ball,Solar Beam,Sludge Bomb,Gastro Acid,Modest,0,0,0,252,0,252
Tentacruel,Black Sludge,Ice Beam,Sludge Wave,Hex,Toxic Spikes,Hasty,0,0,0,252,0,252
Tentacruel,Mystic Water,Rapid Spin,Poison Jab,Waterfall,Swords Dance,Hasty,0,252,0,0,0,252
Tentacruel,Focus Sash,Hydro Pump,Sludge Bomb,Giga Drain,Mirror Coat,Modest,252,0,0,252,0,0
Tentacruel,Black Sludge,Surf,Toxic,Venoshock,Protect,Bold,252,0,252,0,0,0
Golem,Hard Stone,Stealth Rock,Curse,Gyro Ball,Smack Down,Impish,170,170,170,0,0,0
Golem,Absorb Bulb,Rock Slide,Earthquake,Bulldoze,Autotomize,Naughty,0,252,0,0,0,252
Golem,Focus Sash,Rock Slide,Earthquake,Explosion,Autotomize,Jolly,0,252,0,0,0,252
Golem,Iron Ball,Rock Slide,Earthquake,Explosion,Fling,Brave,0,252,0,0,252,0
Rapidash,Passho Berry,Bounce,Flame Charge,Low Kick,Charm,Naughty,0,252,0,0,0,252
Rapidash,Heat Rock,Will-O-Wisp,Fire Blast,Solar Beam,Sunny Day,Hasty,0,0,0,252,0,252
Rapidash,Focus Sash,Flare Blitz,Poison Jab,Iron Tail,Horn Drill,Jolly,0,252,0,0,0,252
Rapidash,Charcoal,Flare Blitz,Megahorn,Double-Edge,Protect,Jolly,0,252,0,0,0,252
Slowbro,Sitrus Berry,Yawn,Psychic,Calm Mind,Water Pulse,Bold,252,0,252,0,0,0
Slowbro,Quick Claw,Flamethrower,Ice Beam,Slack Off,Water Pulse,Modest,0,0,252,252,0,0
Slowbro,Leftovers,Psychic,Surf,Slack Off,Amnesia,Bold,252,0,252,0,0,0
Slowbro,Leftovers,Psychic,Surf,Blizzard,Trick Room,Quiet,252,0,252,0,0,0
Dewgong,Icy Rock,Icy Wind,Toxic,Rest,Hail,Mild,252,0,252,0,0,0
Dewgong,Never-Melt Ice,Ice Shard,Signal Beam,Ice Beam,Encore,Rash,0,0,0,252,0,252
Dewgong,Quick Claw,Fake Out,Surf,Ice Beam,Aqua Jet,Mild,0,0,0,252,252,0
Dewgong,Salac Berry,Rain Dance,Rest,Surf,Stockpile,Bold,170,0,170,0,170,0
Muk,Black Sludge,Poison Jab,Stockpile,Swallow,Memento,Brave,0,252,252,0,0,0
Muk,Toxic Plate,Shadow Sneak,Poison Jab,Acid Armor,Flamethrower,Lonely,0,170,0,170,170,0
Muk,Zoom Lens,Gunk Shot,Payback,Shadow Sneak,Curse,Brave,252,252,0,0,0,0
Muk,Quick Claw,Gunk Shot,Shadow Sneak,Brick Break,Explosion,Adamant,252,252,0,0,0,0
Gengar,Focus Sash,Shadow Ball,Dream Eater,Nightmare,Hypnosis,Timid,0,0,0,252,0,252
Gengar,Expert Belt,Sucker Punch,Fire Punch,Ice Punch,Will-O-Wisp,Jolly,0,252,0,0,0,252
Gengar,Payapa Berry,Shadow Ball,Energy Ball,Dazzling Gleam,Round,Timid,0,0,0,252,0,252
Gengar,Lum Berry,Sludge Bomb,Thunderbolt,Shadow Ball,Destiny Bond,Timid,0,0,0,252,0,252
Electrode,Shuca Berry,Swagger,Light Screen,Charge Beam,Thunder Wave,Calm,252,0,0,0,252,0
Electrode,Focus Sash,Electro Ball,Taunt,Protect,Explosion,Hasty,0,252,0,0,0,252
Electrode,Air Balloon,Thunderbolt,Mirror Coat,Signal Beam,Protect,Timid,0,0,0,252,0,252
Electrode,Damp Rock,Rain Dance,Thunder,Taunt,Light Screen,Timid,0,0,0,252,0,252
Exeggutor,Petaya Berry,Psyshock,Grass Knot,Light Screen,Synthesis,Mild,0,0,0,170,170,170
Exeggutor,Sitrus Berry,Wood Hammer,Curse,Egg Bomb,Synthesis,Brave,0,252,0,0,252,0
Exeggutor,Expert Belt,Leaf Storm,Psychic,Sludge Bomb,Ancient Power,Modest,252,0,0,252,0,0
Exeggutor,Lum Berry,Wood Hammer,Zen Headbutt,Explosion,Trick Room,Brave,252,252,0,0,0,0
Marowak,Salac Berry,Substitute,Detect,Earthquake,Swords Dance,Careful,252,0,0,0,252,0
Marowak,Iron Ball,Earthquake,Fling,Brick Break,Detect,Brave,252,252,0,0,0,0
Marowak,Thick Club,Earthquake,Stone Edge,Low Kick,Fire Punch,Jolly,0,252,0,0,0,252
Marowak,Thick Club,Earthquake,Outrage,Detect,Rock Slide,Jolly,0,252,0,0,0,252
Weezing,Payapa Berry,Pain Split,Explosion,Haze,Will-O-Wisp,Impish,252,0,252,0,0,0
Weezing,Safety Goggles,Sludge Bomb,Fire Blast,Stockpile,Swallow,Rash,252,0,0,252,0,0
Weezing,Black Sludge,Sludge Bomb,Thunder,Fire Blast,Shadow Ball,Modest,252,0,0,252,0,0
Weezing,Chesto Berry,Toxic,Will-O-Wisp,Stockpile,Rest,Careful,252,0,0,0,252,0
Kangaskhan,Sitrus Berry,Dizzy Punch,Fake Out,Chip Away,Roar,Adamant,0,252,0,0,0,252
Kangaskhan,Salac Berry,Rock Slide,Sucker Punch,Endure,Reversal,Jolly,0,252,0,0,0,252
Kangaskhan,Chople Berry,Fake Out,Double-Edge,Circle Throw,Sucker Punch,Jolly,0,252,0,0,0,252
Kangaskhan,Salac Berry,Fake Out,Endeavor,Return,Substitute,Jolly,0,252,0,0,0,252
Starmie,Sitrus Berry,Psychic,Cosmic Power,Recover,Reflect Type,Timid,252,0,0,0,0,252
Starmie,Mystic Water,Protect,Psychic,Hydro Pump,Rapid Spin,Modest,0,0,0,252,0,252
Starmie,Focus Sash,Surf,Psychic,Power Gem,Signal Beam,Timid,0,0,0,252,0,252
